metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
dot	pool	0.0	7.8096	0.0	1288	1285	1066	0.8296	0.8276	0.8286	0.9977	0.4746	0.3116	0.3762	6.648
dot	pool	0.0	7.8096	0.05	1288	1284	1034	0.8053	0.8028	0.804	0.9969	0.5213	0.2922	0.3745	4.125
dot	pool	0.0	7.8096	0.1	1288	1282	970	0.7566	0.7531	0.7549	0.9953	0.5494	0.2657	0.3582	2.866
dot	pool	0.0	7.8096	0.15	1288	1268	900	0.7098	0.6988	0.7042	0.9845	0.5613	0.2461	0.3421	2.172
dot	pool	0.0	7.8096	0.2	1288	1244	847	0.6809	0.6576	0.669	0.9658	0.5727	0.2306	0.3288	1.807
dot	pool	0.0	7.8096	0.25	1288	1212	806	0.665	0.6258	0.6448	0.941	0.5873	0.219	0.3191	1.608
dot	pool	0.0	7.8096	0.3	1288	1179	773	0.6556	0.6002	0.6267	0.9154	0.6014	0.2088	0.31	1.468
dot	pool	0.0	7.8096	0.35	1288	1134	752	0.6631	0.5839	0.621	0.8804	0.6208	0.205	0.3082	1.387
dot	pool	0.0	7.8096	0.4	1288	1072	736	0.6866	0.5714	0.6237	0.8323	0.6497	0.2009	0.3069	1.331
dot	pool	0.0	7.8096	0.45	1288	1022	712	0.6967	0.5528	0.6165	0.7935	0.6687	0.1916	0.2979	1.306
dot	pool	0.0	7.8096	0.5	1288	970	696	0.7175	0.5404	0.6165	0.7531	0.6933	0.1859	0.2931	1.299
dot	pool	0.0	7.8096	0.55	1288	911	677	0.7431	0.5256	0.6157	0.7073	0.72	0.1814	0.2897	1.304
dot	pool	0.0	7.8096	0.6	1288	856	657	0.7675	0.5101	0.6129	0.6646	0.7469	0.1748	0.2833	1.284
dot	pool	0.0	7.8096	0.65	1288	808	638	0.7896	0.4953	0.6088	0.6273	0.7685	0.1718	0.2808	1.295
dot	pool	0.0	7.8096	0.7	1288	768	622	0.8099	0.4829	0.6051	0.5963	0.7881	0.1673	0.2759	1.291
dot	pool	0.0	7.8096	0.75	1288	724	602	0.8315	0.4674	0.5984	0.5621	0.8113	0.1616	0.2695	1.284
dot	pool	0.0	7.8096	0.8	1288	682	582	0.8534	0.4519	0.5909	0.5295	0.8376	0.1564	0.2635	1.261
dot	pool	0.0	7.8096	0.85	1288	648	563	0.8688	0.4371	0.5816	0.5031	0.8535	0.152	0.2581	1.262
dot	pool	0.0	7.8096	0.9	1288	602	544	0.9037	0.4224	0.5757	0.4674	0.887	0.1462	0.251	1.273
dot	pool	0.05	10.7612	0.0	1288	1220	1063	0.8713	0.8253	0.8477	0.9472	0.4989	0.3106	0.3829	6.56
dot	pool	0.05	10.7612	0.05	1288	1219	1031	0.8458	0.8005	0.8225	0.9464	0.5476	0.2913	0.3803	4.052
dot	pool	0.05	10.7612	0.1	1288	1217	967	0.7946	0.7508	0.7721	0.9449	0.5771	0.2647	0.3629	2.854
dot	pool	0.05	10.7612	0.15	1288	1205	897	0.7444	0.6964	0.7196	0.9356	0.5897	0.2451	0.3463	2.161
dot	pool	0.05	10.7612	0.2	1288	1184	844	0.7128	0.6553	0.6828	0.9193	0.6007	0.2296	0.3323	1.795
dot	pool	0.05	10.7612	0.25	1288	1158	805	0.6952	0.625	0.6582	0.8991	0.6149	0.2189	0.3229	1.6
dot	pool	0.05	10.7612	0.3	1288	1126	772	0.6856	0.5994	0.6396	0.8742	0.6298	0.2087	0.3135	1.46
dot	pool	0.05	10.7612	0.35	1288	1086	751	0.6915	0.5831	0.6327	0.8432	0.6485	0.2049	0.3114	1.383
dot	pool	0.05	10.7612	0.4	1288	1027	735	0.7157	0.5707	0.635	0.7974	0.6785	0.2008	0.3098	1.324
dot	pool	0.05	10.7612	0.45	1288	983	711	0.7233	0.552	0.6262	0.7632	0.6958	0.1915	0.3004	1.302
dot	pool	0.05	10.7612	0.5	1288	934	695	0.7441	0.5396	0.6256	0.7252	0.72	0.1858	0.2953	1.295
dot	pool	0.05	10.7612	0.55	1288	880	676	0.7682	0.5248	0.6236	0.6832	0.7456	0.1812	0.2916	1.3
dot	pool	0.05	10.7612	0.6	1288	829	656	0.7913	0.5093	0.6197	0.6436	0.7716	0.1747	0.2849	1.279
dot	pool	0.05	10.7612	0.65	1288	786	637	0.8104	0.4946	0.6143	0.6102	0.7905	0.1717	0.2821	1.288
dot	pool	0.05	10.7612	0.7	1288	750	621	0.828	0.4821	0.6094	0.5823	0.8076	0.1671	0.277	1.283
dot	pool	0.05	10.7612	0.75	1288	709	601	0.8477	0.4666	0.6019	0.5505	0.8292	0.1615	0.2703	1.275
dot	pool	0.05	10.7612	0.8	1288	669	581	0.8685	0.4511	0.5938	0.5194	0.8523	0.1563	0.2641	1.263
dot	pool	0.05	10.7612	0.85	1288	636	562	0.8836	0.4363	0.5842	0.4938	0.8679	0.1519	0.2586	1.263
dot	pool	0.05	10.7612	0.9	1288	592	543	0.9172	0.4216	0.5777	0.4596	0.9003	0.1461	0.2514	1.274
dot	pool	0.1	11.9894	0.0	1288	1156	1048	0.9066	0.8137	0.8576	0.8975	0.5207	0.3063	0.3857	6.413
dot	pool	0.1	11.9894	0.05	1288	1155	1016	0.8797	0.7888	0.8318	0.8967	0.5713	0.287	0.3821	3.976
dot	pool	0.1	11.9894	0.1	1288	1154	954	0.8267	0.7407	0.7813	0.896	0.6014	0.2608	0.3638	2.822
dot	pool	0.1	11.9894	0.15	1288	1143	885	0.7743	0.6871	0.7281	0.8874	0.6145	0.2413	0.3465	2.134
dot	pool	0.1	11.9894	0.2	1288	1125	832	0.7396	0.646	0.6896	0.8734	0.6253	0.226	0.332	1.763
dot	pool	0.1	11.9894	0.25	1288	1101	794	0.7212	0.6165	0.6647	0.8548	0.6394	0.2153	0.3221	1.568
dot	pool	0.1	11.9894	0.3	1288	1071	761	0.7106	0.5908	0.6452	0.8315	0.6545	0.2051	0.3123	1.433
dot	pool	0.1	11.9894	0.35	1288	1034	742	0.7176	0.5761	0.6391	0.8028	0.6749	0.2014	0.3102	1.364
dot	pool	0.1	11.9894	0.4	1288	981	726	0.7401	0.5637	0.6399	0.7616	0.704	0.1973	0.3082	1.307
dot	pool	0.1	11.9894	0.45	1288	940	703	0.7479	0.5458	0.6311	0.7298	0.7209	0.1888	0.2992	1.284
dot	pool	0.1	11.9894	0.5	1288	896	687	0.7667	0.5334	0.6291	0.6957	0.7437	0.183	0.2938	1.276
dot	pool	0.1	11.9894	0.55	1288	845	668	0.7905	0.5186	0.6263	0.6561	0.7693	0.1785	0.2898	1.285
dot	pool	0.1	11.9894	0.6	1288	799	649	0.8123	0.5039	0.6219	0.6203	0.7925	0.1724	0.2831	1.266
dot	pool	0.1	11.9894	0.65	1288	758	630	0.8311	0.4891	0.6158	0.5885	0.8112	0.1693	0.2802	1.274
dot	pool	0.1	11.9894	0.7	1288	724	614	0.8481	0.4767	0.6103	0.5621	0.8277	0.1648	0.2749	1.274
dot	pool	0.1	11.9894	0.75	1288	686	595	0.8673	0.462	0.6028	0.5326	0.8492	0.1594	0.2684	1.267
dot	pool	0.1	11.9894	0.8	1288	646	575	0.8901	0.4464	0.5946	0.5016	0.8743	0.1542	0.2621	1.254
dot	pool	0.1	11.9894	0.85	1288	615	556	0.9041	0.4317	0.5843	0.4775	0.8888	0.1499	0.2565	1.259
dot	pool	0.1	11.9894	0.9	1288	575	537	0.9339	0.4169	0.5765	0.4464	0.9175	0.144	0.249	1.27
dot	pool	0.15	13.2396	0.0	1288	1092	1020	0.9341	0.7919	0.8571	0.8478	0.5401	0.2962	0.3826	6.295
dot	pool	0.15	13.2396	0.05	1288	1092	991	0.9075	0.7694	0.8328	0.8478	0.5932	0.2777	0.3783	3.888
dot	pool	0.15	13.2396	0.1	1288	1092	932	0.8535	0.7236	0.7832	0.8478	0.6238	0.2526	0.3596	2.761
dot	pool	0.15	13.2396	0.15	1288	1083	866	0.7996	0.6724	0.7305	0.8408	0.6386	0.2333	0.3417	2.1
dot	pool	0.15	13.2396	0.2	1288	1065	815	0.7653	0.6328	0.6927	0.8269	0.6509	0.2184	0.327	1.755
dot	pool	0.15	13.2396	0.25	1288	1045	777	0.7435	0.6033	0.6661	0.8113	0.6638	0.2077	0.3164	1.564
dot	pool	0.15	13.2396	0.3	1288	1017	744	0.7316	0.5776	0.6456	0.7896	0.6798	0.1975	0.306	1.431
dot	pool	0.15	13.2396	0.35	1288	982	726	0.7393	0.5637	0.6396	0.7624	0.7015	0.1938	0.3037	1.361
dot	pool	0.15	13.2396	0.4	1288	933	710	0.761	0.5512	0.6394	0.7244	0.7308	0.1897	0.3012	1.303
dot	pool	0.15	13.2396	0.45	1288	894	692	0.774	0.5373	0.6343	0.6941	0.7485	0.184	0.2954	1.283
dot	pool	0.15	13.2396	0.5	1288	851	676	0.7944	0.5248	0.6321	0.6607	0.7732	0.1783	0.2897	1.276
dot	pool	0.15	13.2396	0.55	1288	803	657	0.8182	0.5101	0.6284	0.6234	0.7994	0.1738	0.2855	1.287
dot	pool	0.15	13.2396	0.6	1288	761	638	0.8384	0.4953	0.6227	0.5908	0.8215	0.1676	0.2784	1.265
dot	pool	0.15	13.2396	0.65	1288	723	619	0.8562	0.4806	0.6156	0.5613	0.8394	0.1646	0.2752	1.273
dot	pool	0.15	13.2396	0.7	1288	692	603	0.8714	0.4682	0.6091	0.5373	0.8546	0.16	0.2696	1.273
dot	pool	0.15	13.2396	0.75	1288	658	584	0.8875	0.4534	0.6002	0.5109	0.8721	0.1546	0.2627	1.264
dot	pool	0.15	13.2396	0.8	1288	620	564	0.9097	0.4379	0.5912	0.4814	0.8956	0.1494	0.2561	1.249
dot	pool	0.15	13.2396	0.85	1288	590	545	0.9237	0.4231	0.5804	0.4581	0.9089	0.1451	0.2502	1.253
dot	pool	0.15	13.2396	0.9	1288	551	526	0.9546	0.4084	0.5721	0.4278	0.9387	0.1393	0.2425	1.264
dot	pool	0.2	14.3696	0.0	1288	1029	973	0.9456	0.7554	0.8399	0.7989	0.5521	0.279	0.3706	6.177
dot	pool	0.2	14.3696	0.05	1288	1029	947	0.9203	0.7352	0.8174	0.7989	0.6059	0.2623	0.3661	3.886
dot	pool	0.2	14.3696	0.1	1288	1029	892	0.8669	0.6925	0.77	0.7989	0.6366	0.2399	0.3485	2.772
dot	pool	0.2	14.3696	0.15	1288	1022	834	0.816	0.6475	0.7221	0.7935	0.6527	0.2228	0.3323	2.102
dot	pool	0.2	14.3696	0.2	1288	1007	785	0.7795	0.6095	0.6841	0.7818	0.6628	0.209	0.3178	1.756
dot	pool	0.2	14.3696	0.25	1288	987	748	0.7579	0.5807	0.6576	0.7663	0.6756	0.1984	0.3067	1.567
dot	pool	0.2	14.3696	0.3	1288	960	717	0.7469	0.5567	0.6379	0.7453	0.6938	0.189	0.2971	1.431
dot	pool	0.2	14.3696	0.35	1288	929	700	0.7535	0.5435	0.6315	0.7213	0.7149	0.1856	0.2947	1.363
dot	pool	0.2	14.3696	0.4	1288	886	684	0.772	0.5311	0.6293	0.6879	0.741	0.1815	0.2916	1.305
dot	pool	0.2	14.3696	0.45	1288	849	667	0.7856	0.5179	0.6242	0.6592	0.7595	0.1759	0.2856	1.283
dot	pool	0.2	14.3696	0.5	1288	807	651	0.8067	0.5054	0.6215	0.6266	0.7852	0.1701	0.2797	1.276
dot	pool	0.2	14.3696	0.55	1288	762	632	0.8294	0.4907	0.6166	0.5916	0.8106	0.1656	0.275	1.289
dot	pool	0.2	14.3696	0.6	1288	721	614	0.8516	0.4767	0.6112	0.5598	0.8348	0.1596	0.2679	1.265
dot	pool	0.2	14.3696	0.65	1288	686	596	0.8688	0.4627	0.6039	0.5326	0.8523	0.1566	0.2646	1.272
dot	pool	0.2	14.3696	0.7	1288	657	580	0.8828	0.4503	0.5964	0.5101	0.8663	0.1521	0.2587	1.275
dot	pool	0.2	14.3696	0.75	1288	624	561	0.899	0.4356	0.5868	0.4845	0.8841	0.1467	0.2516	1.272
dot	pool	0.2	14.3696	0.8	1288	590	543	0.9203	0.4216	0.5783	0.4581	0.9071	0.142	0.2455	1.255
dot	pool	0.2	14.3696	0.85	1288	561	524	0.934	0.4068	0.5668	0.4356	0.9201	0.1376	0.2395	1.26
dot	pool	0.2	14.3696	0.9	1288	526	506	0.962	0.3929	0.5579	0.4084	0.947	0.1326	0.2326	1.269
dot	pool	0.25	15.4455	0.0	1288	966	923	0.9555	0.7166	0.819	0.75	0.5642	0.265	0.3606	6.006
dot	pool	0.25	15.4455	0.05	1288	966	902	0.9337	0.7003	0.8004	0.75	0.6187	0.25	0.3561	3.827
dot	pool	0.25	15.4455	0.1	1288	966	848	0.8778	0.6584	0.7524	0.75	0.6475	0.2279	0.3372	2.752
dot	pool	0.25	15.4455	0.15	1288	959	794	0.8279	0.6165	0.7067	0.7446	0.664	0.2123	0.3217	2.085
dot	pool	0.25	15.4455	0.2	1288	947	748	0.7899	0.5807	0.6694	0.7352	0.6742	0.1988	0.3071	1.746
dot	pool	0.25	15.4455	0.25	1288	932	714	0.7661	0.5543	0.6432	0.7236	0.6857	0.1883	0.2954	1.565
dot	pool	0.25	15.4455	0.3	1288	906	686	0.7572	0.5326	0.6253	0.7034	0.7058	0.1805	0.2875	1.431
dot	pool	0.25	15.4455	0.35	1288	877	670	0.764	0.5202	0.6189	0.6809	0.7266	0.1771	0.2848	1.362
dot	pool	0.25	15.4455	0.4	1288	835	654	0.7832	0.5078	0.6161	0.6483	0.7541	0.173	0.2814	1.299
dot	pool	0.25	15.4455	0.45	1288	801	638	0.7965	0.4953	0.6108	0.6219	0.7728	0.1682	0.2762	1.276
dot	pool	0.25	15.4455	0.5	1288	762	623	0.8176	0.4837	0.6078	0.5916	0.7978	0.1632	0.2709	1.271
dot	pool	0.25	15.4455	0.55	1288	720	606	0.8417	0.4705	0.6036	0.559	0.8228	0.159	0.2665	1.282
dot	pool	0.25	15.4455	0.6	1288	684	589	0.8611	0.4573	0.5974	0.5311	0.8446	0.153	0.2591	1.259
dot	pool	0.25	15.4455	0.65	1288	652	572	0.8773	0.4441	0.5897	0.5062	0.8613	0.1504	0.2561	1.265
dot	pool	0.25	15.4455	0.7	1288	626	558	0.8914	0.4332	0.5831	0.486	0.8755	0.1463	0.2506	1.268
dot	pool	0.25	15.4455	0.75	1288	595	541	0.9092	0.42	0.5746	0.462	0.8951	0.1416	0.2446	1.269
dot	pool	0.25	15.4455	0.8	1288	564	523	0.9273	0.4061	0.5648	0.4379	0.915	0.1369	0.2382	1.259
dot	pool	0.25	15.4455	0.85	1288	537	505	0.9404	0.3921	0.5534	0.4169	0.9275	0.1326	0.232	1.263
dot	pool	0.25	15.4455	0.9	1288	506	488	0.9644	0.3789	0.544	0.3929	0.9508	0.1276	0.225	1.271
dot	pool	0.3	16.3493	0.0	1288	901	864	0.9589	0.6708	0.7894	0.6995	0.5729	0.2497	0.3478	5.726
dot	pool	0.3	16.3493	0.05	1288	901	844	0.9367	0.6553	0.7711	0.6995	0.6271	0.2357	0.3426	3.711
dot	pool	0.3	16.3493	0.1	1288	901	795	0.8824	0.6172	0.7264	0.6995	0.6558	0.2161	0.3251	2.683
dot	pool	0.3	16.3493	0.15	1288	896	746	0.8326	0.5792	0.6832	0.6957	0.6729	0.2012	0.3098	2.009
dot	pool	0.3	16.3493	0.2	1288	884	702	0.7941	0.545	0.6464	0.6863	0.6832	0.1888	0.2958	1.683
dot	pool	0.3	16.3493	0.25	1288	870	672	0.7724	0.5217	0.6228	0.6755	0.6932	0.179	0.2845	1.529
dot	pool	0.3	16.3493	0.3	1288	848	646	0.7618	0.5016	0.6049	0.6584	0.7113	0.1715	0.2763	1.397
dot	pool	0.3	16.3493	0.35	1288	823	632	0.7679	0.4907	0.5988	0.639	0.7317	0.1686	0.2741	1.329
dot	pool	0.3	16.3493	0.4	1288	783	618	0.7893	0.4798	0.5968	0.6079	0.7596	0.1646	0.2706	1.278
dot	pool	0.3	16.3493	0.45	1288	750	603	0.804	0.4682	0.5918	0.5823	0.7795	0.1599	0.2653	1.258
dot	pool	0.3	16.3493	0.5	1288	713	589	0.8261	0.4573	0.5887	0.5536	0.8058	0.1553	0.2604	1.253
dot	pool	0.3	16.3493	0.55	1288	674	572	0.8487	0.4441	0.5831	0.5233	0.8295	0.1511	0.2556	1.263
dot	pool	0.3	16.3493	0.6	1288	643	558	0.8678	0.4332	0.5779	0.4992	0.8513	0.1458	0.249	1.243
dot	pool	0.3	16.3493	0.65	1288	613	542	0.8842	0.4208	0.5702	0.4759	0.8682	0.1433	0.246	1.249
dot	pool	0.3	16.3493	0.7	1288	588	529	0.8997	0.4107	0.564	0.4565	0.8838	0.1395	0.241	1.251
dot	pool	0.3	16.3493	0.75	1288	561	513	0.9144	0.3983	0.5549	0.4356	0.9006	0.1349	0.2347	1.25
dot	pool	0.3	16.3493	0.8	1288	534	498	0.9326	0.3866	0.5467	0.4146	0.9209	0.1305	0.2286	1.236
dot	pool	0.3	16.3493	0.85	1288	508	481	0.9469	0.3734	0.5356	0.3944	0.9345	0.1262	0.2224	1.238
dot	pool	0.3	16.3493	0.9	1288	481	465	0.9667	0.361	0.5257	0.3734	0.9537	0.1212	0.215	1.243
dot	pool	0.35	16.9738	0.0	1288	837	806	0.963	0.6258	0.7586	0.6498	0.5879	0.236	0.3368	5.582
dot	pool	0.35	16.9738	0.05	1288	837	789	0.9427	0.6126	0.7426	0.6498	0.6412	0.2234	0.3314	3.651
dot	pool	0.35	16.9738	0.1	1288	837	748	0.8937	0.5807	0.704	0.6498	0.669	0.2054	0.3143	2.664
dot	pool	0.35	16.9738	0.15	1288	833	703	0.8439	0.5458	0.6629	0.6467	0.6856	0.192	0.3	1.99
dot	pool	0.35	16.9738	0.2	1288	825	666	0.8073	0.5171	0.6304	0.6405	0.6971	0.1815	0.288	1.668
dot	pool	0.35	16.9738	0.25	1288	812	637	0.7845	0.4946	0.6067	0.6304	0.707	0.1719	0.2766	1.508
dot	pool	0.35	16.9738	0.3	1288	794	612	0.7708	0.4752	0.5879	0.6165	0.7228	0.1646	0.2681	1.378
dot	pool	0.35	16.9738	0.35	1288	771	598	0.7756	0.4643	0.5809	0.5986	0.7392	0.1617	0.2654	1.312
dot	pool	0.35	16.9738	0.4	1288	733	585	0.7981	0.4542	0.5789	0.5691	0.768	0.1585	0.2628	1.263
dot	pool	0.35	16.9738	0.45	1288	704	572	0.8125	0.4441	0.5743	0.5466	0.7881	0.1544	0.2582	1.241
dot	pool	0.35	16.9738	0.5	1288	668	558	0.8353	0.4332	0.5706	0.5186	0.8156	0.1498	0.2531	1.235
dot	pool	0.35	16.9738	0.55	1288	633	543	0.8578	0.4216	0.5653	0.4915	0.8382	0.1457	0.2483	1.245
dot	pool	0.35	16.9738	0.6	1288	603	529	0.8773	0.4107	0.5595	0.4682	0.8605	0.1405	0.2416	1.236
dot	pool	0.35	16.9738	0.65	1288	576	515	0.8941	0.3998	0.5526	0.4472	0.878	0.1382	0.2388	1.243
dot	pool	0.35	16.9738	0.7	1288	553	503	0.9096	0.3905	0.5464	0.4293	0.8937	0.1348	0.2342	1.244
dot	pool	0.35	16.9738	0.75	1288	529	489	0.9244	0.3797	0.5382	0.4107	0.9107	0.1303	0.228	1.242
dot	pool	0.35	16.9738	0.8	1288	503	475	0.9443	0.3688	0.5304	0.3905	0.9329	0.1259	0.2219	1.227
dot	pool	0.35	16.9738	0.85	1288	480	459	0.9563	0.3564	0.5192	0.3727	0.9443	0.1217	0.2156	1.229
dot	pool	0.35	16.9738	0.9	1288	455	444	0.9758	0.3447	0.5095	0.3533	0.9632	0.1175	0.2094	1.233
dot	pool	0.4	17.6516	0.0	1288	773	750	0.9702	0.5823	0.7278	0.6002	0.6059	0.2183	0.321	5.375
dot	pool	0.4	17.6516	0.05	1288	773	736	0.9521	0.5714	0.7142	0.6002	0.6566	0.2074	0.3152	3.565
dot	pool	0.4	17.6516	0.1	1288	773	699	0.9043	0.5427	0.6783	0.6002	0.6825	0.1914	0.299	2.618
dot	pool	0.4	17.6516	0.15	1288	772	660	0.8549	0.5124	0.6408	0.5994	0.6985	0.1792	0.2852	1.977
dot	pool	0.4	17.6516	0.2	1288	765	629	0.8222	0.4884	0.6128	0.5939	0.7134	0.1698	0.2743	1.661
dot	pool	0.4	17.6516	0.25	1288	754	602	0.7984	0.4674	0.5896	0.5854	0.7217	0.1606	0.2628	1.5
dot	pool	0.4	17.6516	0.3	1288	739	577	0.7808	0.448	0.5693	0.5738	0.7363	0.1533	0.2538	1.373
dot	pool	0.4	17.6516	0.35	1288	718	564	0.7855	0.4379	0.5623	0.5575	0.7513	0.1507	0.251	1.307
dot	pool	0.4	17.6516	0.4	1288	683	551	0.8067	0.4278	0.5591	0.5303	0.7792	0.1475	0.248	1.256
dot	pool	0.4	17.6516	0.45	1288	659	540	0.8194	0.4193	0.5547	0.5116	0.7961	0.1442	0.2442	1.242
dot	pool	0.4	17.6516	0.5	1288	626	527	0.8419	0.4092	0.5507	0.486	0.8216	0.1404	0.2398	1.237
dot	pool	0.4	17.6516	0.55	1288	597	513	0.8593	0.3983	0.5443	0.4635	0.8393	0.1363	0.2345	1.245
dot	pool	0.4	17.6516	0.6	1288	572	501	0.8759	0.389	0.5387	0.4441	0.859	0.132	0.2288	1.237
dot	pool	0.4	17.6516	0.65	1288	546	488	0.8938	0.3789	0.5322	0.4239	0.8777	0.1297	0.2261	1.243
dot	pool	0.4	17.6516	0.7	1288	524	477	0.9103	0.3703	0.5265	0.4068	0.8935	0.1263	0.2214	1.246
dot	pool	0.4	17.6516	0.75	1288	502	465	0.9263	0.361	0.5196	0.3898	0.9119	0.1228	0.2164	1.243
dot	pool	0.4	17.6516	0.8	1288	479	452	0.9436	0.3509	0.5116	0.3719	0.9316	0.1192	0.2113	1.225
dot	pool	0.4	17.6516	0.85	1288	457	437	0.9562	0.3393	0.5009	0.3548	0.9437	0.1152	0.2054	1.228
dot	pool	0.4	17.6516	0.9	1288	434	424	0.977	0.3292	0.4925	0.337	0.9637	0.1113	0.1996	1.23
dot	pool	0.45	18.5537	0.0	1288	708	689	0.9732	0.5349	0.6904	0.5497	0.62	0.2021	0.3048	5.185
dot	pool	0.45	18.5537	0.05	1288	708	677	0.9562	0.5256	0.6784	0.5497	0.6676	0.1928	0.2992	3.48
dot	pool	0.45	18.5537	0.1	1288	708	644	0.9096	0.5	0.6453	0.5497	0.693	0.1793	0.2848	2.586
dot	pool	0.45	18.5537	0.15	1288	708	608	0.8588	0.472	0.6092	0.5497	0.708	0.1681	0.2717	1.939
dot	pool	0.45	18.5537	0.2	1288	701	582	0.8302	0.4519	0.5852	0.5443	0.723	0.1594	0.2612	1.645
dot	pool	0.45	18.5537	0.25	1288	690	558	0.8087	0.4332	0.5642	0.5357	0.7333	0.1513	0.2508	1.489
dot	pool	0.45	18.5537	0.3	1288	677	535	0.7903	0.4154	0.5445	0.5256	0.746	0.1451	0.243	1.358
dot	pool	0.45	18.5537	0.35	1288	658	523	0.7948	0.4061	0.5375	0.5109	0.7601	0.1427	0.2402	1.299
dot	pool	0.45	18.5537	0.4	1288	627	510	0.8134	0.396	0.5326	0.4868	0.7862	0.1395	0.2369	1.247
dot	pool	0.45	18.5537	0.45	1288	608	500	0.8224	0.3882	0.5274	0.472	0.8	0.1365	0.2332	1.237
dot	pool	0.45	18.5537	0.5	1288	578	490	0.8478	0.3804	0.5252	0.4488	0.8289	0.1334	0.2298	1.231
dot	pool	0.45	18.5537	0.55	1288	555	480	0.8649	0.3727	0.5209	0.4309	0.8466	0.1311	0.227	1.237
dot	pool	0.45	18.5537	0.6	1288	533	468	0.878	0.3634	0.514	0.4138	0.8625	0.1267	0.221	1.228
dot	pool	0.45	18.5537	0.65	1288	510	456	0.8941	0.354	0.5072	0.396	0.8779	0.1246	0.2182	1.233
dot	pool	0.45	18.5537	0.7	1288	489	445	0.91	0.3455	0.5008	0.3797	0.893	0.1213	0.2136	1.237
dot	pool	0.45	18.5537	0.75	1288	470	436	0.9277	0.3385	0.496	0.3649	0.9133	0.1184	0.2097	1.232
dot	pool	0.45	18.5537	0.8	1288	451	426	0.9446	0.3307	0.4899	0.3502	0.9318	0.115	0.2048	1.222
dot	pool	0.45	18.5537	0.85	1288	429	411	0.958	0.3191	0.4787	0.3331	0.9446	0.1112	0.199	1.226
dot	pool	0.45	18.5537	0.9	1288	407	398	0.9779	0.309	0.4696	0.316	0.9638	0.1073	0.1931	1.229
dot	pool	0.5	19.3519	0.0	1288	644	629	0.9767	0.4884	0.6511	0.5	0.6327	0.1862	0.2877	5.023
dot	pool	0.5	19.3519	0.05	1288	644	620	0.9627	0.4814	0.6418	0.5	0.6772	0.1776	0.2814	3.443
dot	pool	0.5	19.3519	0.1	1288	644	588	0.913	0.4565	0.6087	0.5	0.7004	0.1644	0.2663	2.567
dot	pool	0.5	19.3519	0.15	1288	644	555	0.8618	0.4309	0.5745	0.5	0.7148	0.1551	0.2548	1.901
dot	pool	0.5	19.3519	0.2	1288	639	530	0.8294	0.4115	0.5501	0.4961	0.7256	0.1472	0.2448	1.619
dot	pool	0.5	19.3519	0.25	1288	630	510	0.8095	0.396	0.5318	0.4891	0.7368	0.1412	0.2371	1.468
dot	pool	0.5	19.3519	0.3	1288	620	491	0.7919	0.3812	0.5147	0.4814	0.7476	0.1363	0.2305	1.341
dot	pool	0.5	19.3519	0.35	1288	603	481	0.7977	0.3734	0.5087	0.4682	0.7642	0.134	0.228	1.287
dot	pool	0.5	19.3519	0.4	1288	574	469	0.8171	0.3641	0.5038	0.4457	0.7901	0.1311	0.2249	1.262
dot	pool	0.5	19.3519	0.45	1288	558	460	0.8244	0.3571	0.4984	0.4332	0.8028	0.1282	0.221	1.25
dot	pool	0.5	19.3519	0.5	1288	530	450	0.8491	0.3494	0.495	0.4115	0.8316	0.1251	0.2174	1.243
dot	pool	0.5	19.3519	0.55	1288	509	441	0.8664	0.3424	0.4908	0.3952	0.8499	0.1228	0.2146	1.25
dot	pool	0.5	19.3519	0.6	1288	489	430	0.8793	0.3339	0.484	0.3797	0.8642	0.1189	0.2091	1.241
dot	pool	0.5	19.3519	0.65	1288	470	421	0.8957	0.3269	0.479	0.3649	0.88	0.1171	0.2066	1.245
dot	pool	0.5	19.3519	0.7	1288	453	412	0.9095	0.3199	0.4733	0.3517	0.8931	0.1139	0.202	1.249
dot	pool	0.5	19.3519	0.75	1288	437	405	0.9268	0.3144	0.4696	0.3393	0.9113	0.1119	0.1994	1.243
dot	pool	0.5	19.3519	0.8	1288	420	396	0.9429	0.3075	0.4637	0.3261	0.9292	0.1088	0.1948	1.231
dot	pool	0.5	19.3519	0.85	1288	399	382	0.9574	0.2966	0.4529	0.3098	0.943	0.105	0.189	1.241
dot	pool	0.5	19.3519	0.9	1288	377	369	0.9788	0.2865	0.4432	0.2927	0.9635	0.1011	0.1831	1.244
dot	pool	0.55	20.0315	0.0	1288	580	567	0.9776	0.4402	0.6071	0.4503	0.6369	0.1647	0.2617	4.974
dot	pool	0.55	20.0315	0.05	1288	580	558	0.9621	0.4332	0.5974	0.4503	0.6794	0.1571	0.2552	3.443
dot	pool	0.55	20.0315	0.1	1288	580	529	0.9121	0.4107	0.5664	0.4503	0.7025	0.1458	0.2415	2.569
dot	pool	0.55	20.0315	0.15	1288	580	501	0.8638	0.389	0.5364	0.4503	0.717	0.1381	0.2316	1.914
dot	pool	0.55	20.0315	0.2	1288	576	478	0.8299	0.3711	0.5129	0.4472	0.7267	0.1312	0.2222	1.634
dot	pool	0.55	20.0315	0.25	1288	567	459	0.8095	0.3564	0.4949	0.4402	0.7371	0.1252	0.2141	1.482
